Rank,Name,Points,Country
1,Not Available,"11,330",ita
2,Not Available,"7,945",ger
3,Not Available,"6,910",esp
4,Not Available,"4,900",usa
5,Not Available,"3,860",srb
6,Not Available,"3,855",nor
7,Not Available,"3,800",gbr
8,Not Available,"3,680",rus
9,Not Available,"3,440",rus
10,Not Available,"3,405",gre
11,Not Available,"3,335",aus
12,Not Available,"3,270",den
13,Not Available,"3,030",usa
14,Not Available,"2,980",usa
15,Not Available,"2,745",bul
16,Not Available,"2,650",ita
17,Not Available,"2,485",usa
18,Not Available,"2,480",fra
19,Not Available,"2,415",can
20,Not Available,"2,375",fra
21,Not Available,"2,310",cze
22,Not Available,"2,205",pol
23,Not Available,"2,000",rus
24,Not Available,"1,925",arg
25,Not Available,"1,860",usa
26,Not Available,"1,800",aus
27,Not Available,"1,745",cze
28,Not Available,"1,716",can
29,Not Available,"1,656",fra
30,Not Available,"1,580",ita
31,Not Available,"1,555",chi
32,Not Available,"1,500",usa
33,Not Available,"1,465",usa
34,Not Available,"1,420",ned
35,Not Available,"1,410",ita
36,Not Available,"1,385",arg
37,Not Available,"1,375",aus
38,Not Available,"1,356",ita
39,Not Available,"1,325",esp
40,Not Available,"1,295",esp
41,Not Available,"1,287",fra
42,Not Available,"1,280",por
43,Not Available,"1,280",ita
44,Not Available,"1,275",arg
45,Not Available,"1,240",usa
46,Not Available,"1,230",fra
47,Not Available,"1,165",chi
48,Not Available,"1,161",srb
49,Not Available,"1,160",ger
50,Not Available,"1,089",esp
51,Not Available,"1,065",bel
52,Not Available,"1,055",chn
53,Not Available,"1,051",esp
54,Not Available,"1,042",cze
55,Not Available,"1,003",bel
56,Not Available,992,esp
57,Not Available,981,fra
58,Not Available,975,chn
59,Not Available,965,hun
60,Not Available,955,bra
61,Not Available,945,ita
62,Not Available,925,arg
63,Not Available,920,fra
64,Not Available,873,jpn
65,Not Available,870,arg
66,Not Available,867,usa
67,Not Available,866,arg
68,Not Available,859,jpn
69,Not Available,855,chn
70,Not Available,852,bih
71,Not Available,851,rus
72,Not Available,838,ita
73,Not Available,829,srb
74,Not Available,821,fra
75,Not Available,821,srb
76,Not Available,814,fra
77,Not Available,814,aus
78,Not Available,805,aus
79,Not Available,800,usa
80,Not Available,785,kaz
81,Not Available,784,gbr
82,Not Available,783,ger
83,Not Available,770,gbr
84,Not Available,762,ita
85,Not Available,760,ned
86,Not Available,752,aus
87,Not Available,730,can
88,Not Available,711,fra
89,Not Available,666,aus
90,Not Available,666,hun
91,Not Available,652,bel
92,Not Available,649,por
93,Not Available,648,aus
94,Not Available,646,ita
95,Not Available,638,aus
96,Not Available,617,bra
97,Not Available,607,ita
98,Not Available,598,kaz
99,Not Available,590,bra
100,Not Available,585,usa
101,Not Available,575,usa
102,Not Available,573,rus
103,Not Available,566,bol
104,Not Available,563,usa
105,Not Available,562,ned
106,Not Available,559,fra
107,Not Available,558,gbr
108,Not Available,555,srb
109,Not Available,554,esp
110,Not Available,532,col
111,Not Available,531,usa
112,Not Available,530,cro
113,Not Available,529,ger
114,Not Available,529,usa
115,Not Available,529,tpe
116,Not Available,528,usa
117,Not Available,512,arg
118,Not Available,508,fra
119,Not Available,485,jpn
120,Not Available,482,pol
121,Not Available,482,fra
122,Not Available,481,cze
123,Not Available,468,usa
124,Not Available,466,arg
125,Not Available,466,sui
126,Not Available,461,arg
127,Not Available,460,svk
128,Not Available,456,aus
129,Not Available,450,aus
130,Not Available,449,sui
131,Not Available,448,aut
132,Not Available,445,fra
133,Not Available,440,fin
134,Not Available,434,usa
135,Not Available,432,usa
136,Not Available,431,chi
137,Not Available,430,arg
138,Not Available,429,arg
139,Not Available,428,ind
140,Not Available,423,arg
141,Not Available,416,usa
142,Not Available,416,rsa
143,Not Available,413,cro
144,Not Available,412,geo
145,Not Available,411,fra
146,Not Available,411,esp
147,Not Available,398,ger
148,Not Available,398,fra
149,Not Available,388,chi
150,Not Available,383,fra
151,Not Available,376,fra
152,Not Available,375,bra
153,Not Available,375,esp
154,Not Available,375,jpn
155,Not Available,374,jpn
156,Not Available,370,den
157,Not Available,367,fra
158,Not Available,360,fra
159,Not Available,359,can
160,Not Available,358,kaz
161,Not Available,358,por
162,Not Available,356,arg
163,Not Available,354,bel
164,Not Available,354,arg
165,Not Available,351,cze
166,Not Available,350,svk
167,Not Available,345,cro
168,Not Available,339,sui
169,Not Available,337,fra
170,Not Available,332,esp
171,Not Available,331,aus
172,Not Available,330,sui
173,Not Available,330,rus
174,Not Available,329,fra
175,Not Available,328,kaz
176,Not Available,320,bra
177,Not Available,320,lbn
178,Not Available,319,gbr
179,Not Available,318,can
180,Not Available,317,fra
181,Not Available,317,jpn
182,Not Available,312,hkg
183,Not Available,311,gbr
184,Not Available,310,aus
185,Not Available,306,ita
186,Not Available,306,arg
187,Not Available,306,par
188,Not Available,304,jpn
189,Not Available,303,mda
190,Not Available,302,col
191,Not Available,299,fra
192,Not Available,297,aus
193,Not Available,297,fra
194,Not Available,295,ltu
195,Not Available,292,rus
196,Not Available,291,jpn
197,Not Available,290,aut
198,Not Available,290,arg
199,Not Available,289,ned
200,Not Available,287,den
201,Not Available,285,ltu
202,Not Available,284,usa
203,Not Available,284,usa
204,Not Available,283,fra
205,Not Available,282,est
206,Not Available,277,tun
207,Not Available,277,lbn
208,Not Available,276,ger
209,Not Available,273,aut
210,Not Available,271,ger
211,Not Available,270,bel
212,Not Available,265,fra
213,Not Available,265,fra
214,Not Available,264,jpn
215,Not Available,263,kaz
216,Not Available,261,per
217,Not Available,260,gbr
218,Not Available,258,fin
219,Not Available,258,aus
220,Not Available,257,ita
221,Not Available,256,uzb
222,Not Available,256,bol
223,Not Available,252,usa
224,Not Available,250,pol
225,Not Available,249,esp
226,Not Available,245,tpe
227,Not Available,245,jpn
228,Not Available,240,esp
229,Not Available,240,mex
230,Not Available,238,tpe
231,Not Available,236,bul
232,Not Available,235,kor
233,Not Available,235,fra
234,Not Available,234,aus
235,Not Available,231,usa
236,Not Available,231,per
237,Not Available,230,cze
238,Not Available,229,ita
239,Not Available,229,fra
240,Not Available,229,ger
241,Not Available,227,rou
242,Not Available,226,chn
243,Not Available,226,esp
244,Not Available,225,chi
245,Not Available,225,kaz
246,Not Available,224,aut
247,Not Available,224,dom
248,Not Available,224,nor
249,Not Available,221,usa
250,Not Available,220,por
251,Not Available,219,ita
252,Not Available,219,esp
253,Not Available,219,fra
254,Not Available,216,ecu
255,Not Available,216,esp
256,Not Available,215,lux
257,Not Available,215,ecu
258,Not Available,215,kaz
259,Not Available,213,ned
260,Not Available,213,ven
261,Not Available,212,swe
262,Not Available,211,fra
263,Not Available,210,ita
264,Not Available,210,per
265,Not Available,208,mon
266,Not Available,203,hun
267,Not Available,203,esp
268,Not Available,203,fra
269,Not Available,203,ita
270,Not Available,201,jor
271,Not Available,201,fra
272,Not Available,199,sui
273,Not Available,197,rus
274,Not Available,197,arg
275,Not Available,195,bra
276,Not Available,193,ned
277,Not Available,192,chn
278,Not Available,190,fra
279,Not Available,190,bul
280,Not Available,190,ita
281,Not Available,189,ita
282,Not Available,188,rus
283,Not Available,188,usa
284,Not Available,187,fra
285,Not Available,187,sui
286,Not Available,186,arg
287,Not Available,186,usa
288,Not Available,186,gbr
289,Not Available,186,ger
290,Not Available,184,fra
291,Not Available,183,ned
292,Not Available,181,bra
293,Not Available,180,sui
294,Not Available,179,cro
295,Not Available,179,cro
296,Not Available,177,svk
297,Not Available,177,ger
298,Not Available,177,gbr
299,Not Available,177,aus
300,Not Available,175,ltu
301,Not Available,174,fra
302,Not Available,174,bol
303,Not Available,174,bel
304,Not Available,173,esp
305,Not Available,173,fra
306,Not Available,172,nor
307,Not Available,172,arg
308,Not Available,170,ukr
309,Not Available,170,aut
310,Not Available,170,arg
311,Not Available,169,gbr
312,Not Available,168,fra
313,Not Available,168,chn
314,Not Available,168,ita
315,Not Available,167,ita
316,Not Available,167,tur
317,Not Available,166,sui
318,Not Available,166,rus
319,Not Available,164,rus
320,Not Available,163,ukr
321,Not Available,162,bra
322,Not Available,161,usa
323,Not Available,161,ger
324,Not Available,160,arg
325,Not Available,159,bel
326,Not Available,159,usa
327,Not Available,159,fra
328,Not Available,158,ita
329,Not Available,158,zim
330,Not Available,157,jpn
331,Not Available,157,civ
332,Not Available,157,por
333,Not Available,156,svk
334,Not Available,156,esp
335,Not Available,156,fra
336,Not Available,156,esp
337,Not Available,154,aut
338,Not Available,154,jpn
339,Not Available,153,ger
340,Not Available,152,sui
341,Not Available,151,ita
342,Not Available,150,esp
343,Not Available,149,arg
344,Not Available,148,pol
345,Not Available,148,bra
346,Not Available,147,cro
347,Not Available,146,ita
348,Not Available,146,col
349,Not Available,146,esp
350,Not Available,145,ita
351,Not Available,145,bra
352,Not Available,144,aus
353,Not Available,144,ger
354,Not Available,144,ger
355,Not Available,144,cze
356,Not Available,143,rou
357,Not Available,143,ita
358,Not Available,142,gbr
359,Not Available,141,gbr
360,Not Available,141,cro
361,Not Available,141,usa
362,Not Available,140,jpn
363,Not Available,139,fra
364,Not Available,139,rou
365,Not Available,138,rus
366,Not Available,138,rsa
367,Not Available,137,gbr
368,Not Available,137,jpn
369,Not Available,136,chn
370,Not Available,136,aus
371,Not Available,136,cze
372,Not Available,135,kor
373,Not Available,135,arg
374,Not Available,134,rsa
375,Not Available,134,uru
376,Not Available,133,ukr
377,Not Available,133,lat
378,Not Available,133,arg
379,Not Available,131,rou
380,Not Available,130,bra
381,Not Available,130,ita
382,Not Available,128,gbr
383,Not Available,128,usa
384,Not Available,128,aut
385,Not Available,127,usa
386,Not Available,126,esp
387,Not Available,126,rus
388,Not Available,125,ita
389,Not Available,124,aus
390,Not Available,123,gbr
391,Not Available,122,usa
392,Not Available,122,usa
393,Not Available,122,aus
394,Not Available,121,blr
395,Not Available,121,est
396,Not Available,121,kor
397,Not Available,120,arg
398,Not Available,120,fra
399,Not Available,120,cze
